LOCATION,ADDRESS,BIKE_PARKING,PLACEMENT,RACKS,SPACES,1_STATUS,2_STATUS_HIGH_LEVEL,3_STATUS_DETAIL,4_STATUS_DESCRIPTION,5_ACTING_AGENT,6_ACTION,INSTALLED_BY,YR_INSTALLED,COORDINATES
Blueprint Tap Room,680 08TH ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.770128, -122.404719)"
Coffee Bar,433 KEARNY ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.79184834, -122.40447127)"
SFPD Southern Station,850 BRYANT ST,RACK,SIDEWALK,0,,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.775398, -122.404389)"
NextSpace,365 VERMONT ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.76515827, -122.40423345)"
Zynga HQ,699 08TH ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.771022, -122.403546)"
"Elite Audio Systems, Inc. ",893 A FOLSOM ST ,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,REQUEST FROM VISITOR,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.78027119, -122.40286520)"
Advent Software ,600 TOWNSEND ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.77170589, -122.40268288)"
San Francisco Center for the Book,375 RHODE ISLAND ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.765357, -122.402331)"
Adobe,601 TOWNSEND ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.771125, -122.401663)"
BOMA,233 SANSOME ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.792609, -122.401315)"
New Montgomery Partners,65 ANNIE ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.787458, -122.401310)"
The Battery,717 BATTERY ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.797882, -122.401285)"
The Royal SF,201 SANSOME ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.792257, -122.401242)"
SPUR,654 MISSION ST,RACK,PARKING_LANE,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.787183, -122.401235)"
Mindjet Corportation,1160 BATTERY ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.801916, -122.401120)"
Henry Street Settlement,290 03RD ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,POTENTIAL CORRAL,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.783513, -122.400813)"
Bently Reserve,301 BATTERY ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.794289, -122.400785)"
Mama Art Café,4754 MISSION ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.78940506, -122.40054422)"
CVS Pharmacy,581 MARKET ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.789405, -122.400544)"
Academy of Art University,79 NEW MONTGOMERY ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.787890, -122.400535)"
Market/Battery Plaza (Mechanic's Plaza),None,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.791290, -122.399290)"
Speedway Printing,475 04TH ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.780062, -122.398220)"
Solmentum,78 01ST ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.789843, -122.398125)"
Musee Mecanique,PIER 45 SHED A,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,OUTSIDE SFMTA'S JURISDICTION,PORT,1. AGENT_TO_CONTACT,N/A,n/a,"(37.798420, -122.397958)"
Hwa Rang Kwan Martial Arts,90 WELSH ST,RACK,PARKING_LANE,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.77951021, -122.39734147)"
Zare at Fly Trap,606 FOLSOM ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.785535, -122.397125)"
_undetermined,370 TOWNSEND ST,RACK,PARKING_LANE,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.77604923, -122.39678757)"
Speciality's Café,500 HOWARD ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.788423, -122.396569)"
Kate's Closet,1331 18TH ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.762461, -122.396175)"
Cut Above the Rest,6295 03RD ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.721015, -122.395912)"
Noah's Bagels,400 HOWARD ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.789215, -122.395575)"
Infield Design,210 MISSISSIPPI ST,RACK,SIDEWALK,1,2,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,SFMTA,2014,"(37.76367415, -122.39495775)"
Diva International Salon,1 MARKET ST,RACK,PARKING_LANE,0,0,IN_PROGRESS,UNDER_REVIEW,POTENTIAL CORRAL,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.79387152, -122.39486524)"
Durso Deli,236 TOWNSEND ST,RACK,PARKING_LANE,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.778265, -122.393882)"
multiple,101 HOWARD ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.7908799, -122.3925210)"
US Post Office,2111 LANE ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.728788, -122.392295)"
Aguiladeoro,5201 03RD ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.730460, -122.391891)"
Mamas Food,5155 03RD ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.731296, -122.391672)"
Piccino,1001 MINNESOTA ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.757622, -122.389918)"
Watermark,501 BEALE ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.786237, -122.389066)"
South Beach Cafe,800 THE EMBARCADERO,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,OUTSIDE SFMTA'S JURISDICTION,PORT,1. AGENT_TO_CONTACT,N/A,n/a,"(37.781216, -122.388972)"
Pier 24 Photography,PIER 24 THE EMBARCADERO,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,OUTSIDE SFMTA'S JURISDICTION,PORT,1. AGENT_TO_CONTACT,N/A,n/a,"(37.788124, -122.386364)"
Absinthe Pastry,201 IVY ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,NARROW SIDEWALK,N/A,0. NO_FURTHER_ACTION,N/A,n/a,"(37.777492, -122.421458)"
Golden Gate Senior Center.,6101 FULTON ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,OUTSIDE SFMTA'S JURISDICTION,REC & PARK,1. AGENT_TO_CONTACT,N/A,n/a,"(37.771935, -122.497052)"
Bikram's YogaáCollege of India,301 EUREKA ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,SUPPLY MEETS DEMAND,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.757450, -122.437864)"
Brightworks School,1960 BRYANT ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.762249, -122.410266)"
St. Monica School,5950 GEARY BLVD,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.780281, -122.483137)"
Bay City Financial,5716 MISSION ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.709807, -122.449793)"
Other Avenues Food Co-op,3930 JUDAH ST,RACK,PARKING_LANE,0,0,IN_PROGRESS,ON_HOLD,DELAYED,PARKLET,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.760742, -122.504339)"
residential,2159 32ND AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.746915, -122.490261)"
North East Medical Services,1450 NORIEGA ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,EMPLOYEE BIKE PARKING,SFE (ENVIRONMENT),1. AGENT_TO_CONTACT,N/A,n/a,"(37.754370, -122.479416)"
North East Medical Services,1400 NORIEGA ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,EMPLOYEE BIKE PARKING,SFE (ENVIRONMENT),1. AGENT_TO_CONTACT,N/A,n/a,"(37.754396, -122.478831)"
Ube's Icecream Shop (custom bike painting),1369 14TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.762480, -122.471917)"
residential,201 11TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.784383, -122.470159)"
residential,195 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.738726, -122.467702)"
residential,480 09TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.779381, -122.467058)"
residential,242 08TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.783955, -122.466314)"
Pacific Catch,1200 09TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,DELAYED,CONSTRUCTION,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.765671, -122.466191)"
residential,777 06TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.774182, -122.464118)"
UCSF,505 PARNASSUS AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,EMPLOYEE BIKE PARKING,SFE (ENVIRONMENT),1. AGENT_TO_CONTACT,N/A,n/a,"(37.763864, -122.458392)"
CEL Coalition Center,1205 PLYMOUTH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,DELAYED,CONSTRUCTION,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.724233, -122.456608)"
School,165 GRATTAN ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,DELAYED,CONSTRUCTION,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.763480, -122.450506)"
residential,785 COLE ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.766960, -122.450488)"
residential,793 COLE ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.766892, -122.450474)"
The Urban School of San Francisco,1563 PAGE ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,EMPLOYEE BIKE PARKING,SFE (ENVIRONMENT),1. AGENT_TO_CONTACT,N/A,n/a,"(37.770832, -122.446349)"
Florence Crittenton Services,1101 MASONIC AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,EMPLOYEE BIKE PARKING,SFE (ENVIRONMENT),1. AGENT_TO_CONTACT,N/A,n/a,"(37.770890, -122.445871)"
residential,1654 GROVE ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.775454, -122.443952)"
residential,1654 GROVE ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.775454, -122.443952)"
residential,1618 GROVE ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.775469, -122.443429)"
Wigg Party Sunshine Castle,1571 FULTON ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.776060, -122.442595)"
residential,801 BAKER ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.778498, -122.442169)"
residential,2495 SUTTER ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.784846, -122.441326)"
residential,322 BAKER ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.773976, -122.440640)"
residential,4358 23RD ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.752796, -122.439920)"
Touchless Car Wash,444 DIVISADERO ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,EMPLOYEE BIKE PARKING,SFE (ENVIRONMENT),1. AGENT_TO_CONTACT,N/A,n/a,"(37.773675, -122.437176)"
residential,2130 POST ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.784928, -122.437049)"
Rose's Cafe,2298 UNION ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,EMPLOYEE BIKE PARKING,SFE (ENVIRONMENT),1. AGENT_TO_CONTACT,N/A,n/a,"(37.797080, -122.436997)"
residential,1240 HAYES ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.775366, -122.436925)"
Iyengar Yoga Institute of San Francisco ,2201 SUTTER ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,DELAYED,OPENING DATE TBD,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.785431, -122.436722)"
Song Tea,2118 SUTTER ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,OPENING DATE TBD,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.786049, -122.435406)"
residential,890 PAGE ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.772578, -122.435336)"
residential,1353 MCALLISTER ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.778034, -122.434207)"
Mirsad Painting,899 OAK ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.773460, -122.433777)"
Jacks Laundry,196 NOE ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,DELAYED,CONSTRUCTION,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.765978, -122.433576)"
residential,510 NOE ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.760678, -122.433031)"
Amore Real Estate/residential,1350 GOLDEN GATE AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.779724, -122.432948)"
residential,85 HENRY ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.766457, -122.432736)"
Roostertail,1963 SUTTER ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,EMPLOYEE BIKE PARKING,SFE (ENVIRONMENT),1. AGENT_TO_CONTACT,N/A,n/a,"(37.785957, -122.432617)"
Edo Salon & Gallery,601 HAIGHT ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,DELAYED,SFMTA CONTACTED,SFE (ENVIRONMENT),2. RESPOND_TO_SFMTA,N/A,n/a,"(37.77164647, -122.43221602)"
residential,37 WALTER ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.768539, -122.432075)"
Simpler Media,837 FILLMORE ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,EMPLOYEE BIKE PARKING,SFE (ENVIRONMENT),1. AGENT_TO_CONTACT,N/A,n/a,"(37.777236, -122.431842)"
residential,627 PAGE ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.772710, -122.431106)"
Fingertip Communications,483 NAPLES ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.721011, -122.430744)"
Spin City Coffee,1299 SANCHEZ ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,DELAYED,"CUSTOM RACK, REQUESTED",SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.748505, -122.429075)"
residential,300 BUCHANAN ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.772836, -122.426967)"
Agesong,601 LAGUNA ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,EMPLOYEE BIKE PARKING,SFE (ENVIRONMENT),1. AGENT_TO_CONTACT,N/A,n/a,"(37.776728, -122.426550)"
Laguna Grove,624 LAGUNA ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,EMPLOYEE BIKE PARKING,SFE (ENVIRONMENT),1. AGENT_TO_CONTACT,N/A,n/a,"(37.777042, -122.426122)"
residential,1090 EDDY ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.782577, -122.425567)"
residential,1080 EDDY ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.782607, -122.425332)"
residential,50 LAGUNA ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.771600, -122.425022)"
residential,65 GUERRERO ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.769961, -122.424366)"
Thrillhouse Records,3422 MISSION ST,RACK,PARKING_LANE,0,0,IN_PROGRESS,ON_HOLD,DELAYED,REPAVING,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.741950, -122.422558)"
Black Point Cafe,882 NORTH POINT ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,EMPLOYEE BIKE PARKING,SFE (ENVIRONMENT),1. AGENT_TO_CONTACT,N/A,n/a,"(37.805745, -122.421814)"
Four Barrel Coffee,1686 15TH ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,EMPLOYEE BIKE PARKING,SFE (ENVIRONMENT),1. AGENT_TO_CONTACT,N/A,n/a,"(37.766811, -122.421753)"
Four Barrel Coffee,1684 15TH ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,EMPLOYEE BIKE PARKING,SFE (ENVIRONMENT),1. AGENT_TO_CONTACT,N/A,n/a,"(37.766811, -122.421753)"
Yo Yo Restaurant,3092 16TH ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,DELAYED,SFMTA CONTACTED,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.765176, -122.421596)"
"Red Devil Lounge, The",1695 POLK ST,RACK,PARKING_LANE,0,0,IN_PROGRESS,ON_HOLD,DELAYED,REPAVING,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.792215, -122.421282)"
residential,1633 CALIFORNIA ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.790210, -122.421132)"
McSweeney's Publishing,849 VALENCIA ST,RACK,PARKING_LANE,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,EMPLOYEE BIKE PARKING,SFE (ENVIRONMENT),1. AGENT_TO_CONTACT,N/A,n/a,"(37.759319, -122.421068)"
Dolores Hotel,35 WOODWARD ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.769340, -122.420692)"
Herbst Theatre,401 VAN NESS AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,DELAYED,CONSTRUCTION,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.779613, -122.420688)"
residential,3305 MISSION ST,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,SFMTA_POLICY,RESIDENTIAL,SFMTA,FINALIZE_PRIVATE_PERMIT,N/A,n/a,"(37.743917, -122.420592)"
War Memorial Opera House,301 VAN NESS AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,ON_HOLD,DELAYED,CONSTRUCTION,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.778631, -122.420493)"
